molecule_chembl_id,canonical_smiles,standard_value,bioactivity
CHEMBL4060644,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)n(C)n2)COc2ccccc21,0.4,active
CHEMBL4088857,CN1C(=O)[C@@H](NC(=O)c2nnc(Cc3ccccc3)o2)COc2ccccc21,0.79,active
CHEMBL4099004,CN1C(=O)[C@@H](NC(=O)c2noc(Cc3ccccc3)n2)COc2ccccc21,0.5,active
CHEMBL4080978,CN1C(=O)[C@@H](NC(=O)c2cn(Cc3ccccc3)nn2)COc2ccccc21,1.0,active
CHEMBL4096551,CN1C(=O)[C@@H](NC(=O)c2cnn(Cc3ccccc3)c2)COc2ccccc21,63.0,active
CHEMBL4104281,CN1C(=O)[C@@H](NC(=O)c2c[nH]c(Cc3ccccc3)n2)COc2ccccc21,1259.0,intermediate
CHEMBL4080047,CN1C(=O)[C@@H](NC(=O)c2coc(Cc3ccccc3)n2)COc2ccccc21,794.0,active
CHEMBL4088627,CN1C(=O)[C@@H](NC(=O)c2ncc(Cc3ccccc3)s2)COc2ccccc21,631.0,active
CHEMBL4088502,O=C(N[C@H]1CO[C@@H]2CCCC[C@H]2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4060280,O=C(N[C@H]1COCCNC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4080634,O=C(NC1Cc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4098676,O=C(N[C@H]1CCOc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,200.0,active
CHEMBL4065985,O=C(N[C@@H]1CNc2ccccc2OC1)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4093587,CN(C(=O)c1cc(Cc2ccccc2)on1)[C@H]1COc2ccccc2NC1=O,10000.0,inactive
CHEMBL4074616,C[C@]1(NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc2NC1=O,10000.0,inactive
CHEMBL3787216,O=C(N[C@@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4084884,O=C(N[C@H]1COc2ccccc2N(C2CC2)C1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4063232,CCN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21,3162.0,intermediate
CHEMBL3786293,O=C(N[C@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,32.0,active
CHEMBL4071864,CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,16.0,active
CHEMBL4065561,CN1C(=O)[C@@H](NC(=O)c2ncn(Cc3ccccc3)n2)COc2ccccc21,0.63,active
CHEMBL4093220,CN1C(=O)[C@@H](NC(=O)c2nnn(Cc3ccccc3)n2)COc2ccccc21,0.079,active
